"Name","Notes","State","Tags","User","Created","Runtime","Sweep","batch_size","dataset","eval_batch_size","gnn_dropout","gnn_hidden_dim","gnn_in_dim","gnn_model_name","gnn_num_heads","gnn_num_layers","grad_steps","llm_frozen","llm_model_name","llm_model_path","llm_num_virtual_tokens","lr","max_memory","max_new_tokens","max_txt_len","model_name","num_epochs","output_dir","patience","project","seed","warmup_epochs","wd","Test Acc","Accum Loss","Lr","Train Loss (Epoch Mean)","Val Loss"
"webqsp_graph_llm_seed0","Novel Merge","finished","enhancement, training","","2025-02-17T13:56:13.000Z","6545","","8","webqsp","16","0","1024","1024","gt2","4","4","2","False","7b","","10","0.00001","[40,40,40,40]","32","512","graph_llm","10","output","2","project_g_retriever","0","1","0.05","74.2014742014742","0.5680882930755615","0.000005588070754483808","0.606553584864896","0.7966671518741115"
"webqsp_graph_llm_seed0","Stage 2 - Retrieval with self-attention","finished","enhancement, training","","2025-02-17T11:14:41.000Z","7228","","8","webqsp","16","0","1024","1024","gt2","4","4","2","False","7b","","10","0.00001","[40,40,40,40]","32","512","graph_llm","10","output","2","project_g_retriever","0","1","0.05","74.14004914004914","0.3527063876390457","0.000005152464083065884","0.6554785536301373","0.8008760636852633"
"webqsp_graph_llm_seed0","MultiheadPooling + improved projection","finished","enhancement, training","","2025-02-17T11:03:43.000Z","6122","","8","webqsp","16","0","1024","1024","gt2","4","4","2","False","7b","","10","0.00001","[40,40,40,40]","32","512","graph_llm","10","output","2","project_g_retriever","0","1","0.05","73.64864864864865","0.7954228520393372","0.000005588070754483808","0.6301904867163123","0.9899203431221748"
"webqsp_graph_llm_seed0","Tuned LLM - G-Retriever + Finetuning with Lora - Stage1","finished","enhancement, training","","2025-02-16T17:45:23.000Z","5315","","8","webqsp","16","0","1024","1024","gt2","4","4","2","False","7b","","10","0.00001","[40,40,40,40]","32","512","graph_llm","10","output","2","project_g_retriever","0","1","0.05","71.68304668304668","0.40803663432598114","0.0000062542843099814445","0.748294784056904","0.9756462083708856"
"webqsp_graph_llm_seed0","Tuned LLM - G-Retriever + Finetuning with Lora","finished","training","","2025-02-11T14:45:41.000Z","6112","","8","webqsp","16","0","1024","1024","gt","4","4","2","False","7b","","10","0.00001","[40,40,40,40]","32","512","graph_llm","10","output","2","project_g_retriever","0","1","0.05","72.85012285012284","0.7236990630626678","0.000005588070754483808","0.7134871307454433","0.9528687365593448"
"webqsp_baseline_llm_seed0","Tune LLM - Finetuning with LORA","finished","training","","2025-02-11T10:20:46.000Z","14527","","8","webqsp_baseline","16","0","1024","1024","gt","4","4","2","False","7b","","10","0.00001","[40,40,40,40]","32","512","llm","10","output","2","project_g_retriever","0","1","0.05","65.78624078624078","1.1404356360435486","0.000005000004889170453","0.8537308710492704","1.0817975805651756"
"webqsp_graph_llm_seed0","frozen llm + prompt tuning - G-Retriever","finished","training","","2025-02-10T18:00:28.000Z","5043","","8","webqsp","16","0","1024","1024","gt","4","4","2","True","7b","","10","0.00001","[40,40,40,40]","32","512","graph_llm","10","output","2","project_g_retriever","0","1","0.05","72.72727272727273","0.6803126931190491","0.000005000004889170453","0.813849210338113","1.0057974650013832"
"webqsp_pt_llm_seed0","frozen llm + prompt tuning - a. prompt tuning ","finished","training","","2025-02-10T13:51:49.000Z","5670","","8","webqsp","16","0","1024","1024","gt","4","4","2","True","7b","","10","0.00001","[40,40,40,40]","32","512","pt_llm","10","output","2","project_g_retriever","0","1","0.05","52.94840294840295","0.7600175142288208","0.000005000004889170453","1.1372006692562158","1.2246169121034685"
"webqsp_inference_llm_seed0","Questions only","finished","inference","","2025-02-07T13:24:00.000Z","248","","8","webqsp","16","0","1024","1024","gt","4","4","2","True","7b_chat","","10","0.00001","[80,80]","32","0","inference_llm","10","output","2","project_g_retriever","0","1","0.05","42.997542997543","","","",""
"webqsp_inference_llm_seed0","textual graph + questions","finished","inference","","2025-02-07T12:00:52.000Z","531","","8","webqsp","16","0","1024","1024","gt","4","4","2","True","7b_chat","","10","0.00001","[80,80]","32","512","inference_llm","10","output","2","project_g_retriever","0","1","0.05","46.68304668304668","","","",""